188.116.40.37,443,PL,Artnet Sp z oo
217.12.206.160,81,PL,Green Floid
45.67.34.89,8443,RO,Stark Industries Solutions
185.39.30.67,2053,RO,Friendhosting LTD
185.104.181.228,443,RO,Data Node
38.180.100.80,443,RS,M247 Europe
2.59.165.35,443,RU,Global Network Management
31.25.29.199,443,RU,LLC Cifrovie Seti Urala
31.128.37.116,8443,RU,Beget
31.128.37.116,2053,RU,Beget
31.129.48.139,443,RU,OOO Network of data-centers Selectel
37.230.114.182,2053,RU,JSC IOT
37.230.114.182,8443,RU,JSC IOT
45.90.218.109,443,RU,First Server
45.95.203.214,8443,RU,First Server
45.95.203.214,2053,RU,First Server
45.139.184.183,8443,RU,LLC Vpsville
45.139.184.183,2053,RU,LLC Vpsville
46.17.43.237,54596,RU,LLC Baxet
80.90.183.75,8443,RU,TimeWeb
82.97.249.34,8443,RU,TimeWeb
82.97.254.184,2053,RU,TimeWeb
85.30.217.230,25146,RU,Rostelecom
85.92.108.176,443,RU,TimeWeb
89.110.89.229,8443,RU,Hosting technology
89.110.89.229,2053,RU,Hosting technology
89.111.172.106,8443,RU,Domain names registrar REGRU
89.248.207.37,443,RU,OOO Network of data-centers Selectel
90.156.211.232,8443,RU,TimeWeb
91.200.148.120,443,RU,TimeWeb
92.51.47.199,443,RU,TimeWeb
94.242.53.158,2053,RU,Veesp
94.242.53.158,8443,RU,Veesp
95.46.1.22,8443,RU,Stolica Telecom Ltd
95.46.1.22,2053,RU,Stolica Telecom Ltd
95.171.21.193,443,RU,Universum bit
147.45.147.212,2053,RU,Adman
147.45.147.212,8443,RU,Adman
147.45.245.15,443,RU,TimeWeb
176.57.211.166,8443,RU,TimeWeb
185.105.117.222,443,RU,Neapol Group
185.128.106.14,51820,RU,First Server
185.137.235.254,443,RU,OOO Network of data-centers Selectel
185.151.243.200,443,RU,OOO Network of data-centers Selectel
188.68.223.17,443,RU,OOO Network of data-centers Selectel
188.225.34.155,443,RU,LLC TIMEWEB
193.124.188.208,443,RU,First Server
16.16.45.85,8443,SE,Amazoncom
16.16.45.85,2053,SE,Amazoncom
45.82.80.96,443,SE,Internetport Sweden AB
45.153.187.209,8443,SE,MVPS
45.153.187.209,2053,SE,MVPS
62.60.152.121,443,SE,Aeza International
62.60.153.58,443,SE,Aeza International
77.221.143.56,8443,SE,Aeza International
77.221.143.56,2053,SE,Aeza International
77.221.143.81,2053,SE,Aeza International
78.40.116.136,2053,SE,Alexhost
78.40.117.49,2053,SE,Alexhost
78.40.117.65,2053,SE,Alexhost
78.40.117.186,2053,SE,Alexhost
89.22.234.0,2053,SE,VDSinacom
91.184.241.110,8443,SE,Aeza International
109.120.132.6,443,SE,Aeza International
109.120.135.91,2053,SE,Aeza International
129.151.198.3,2053,SE,Oracle Cloud
147.45.72.32,8443,SE,Aeza International
147.45.72.36,8443,SE,Aeza International
147.45.73.97,443,SE,Aeza International
206.168.213.106,443,SE,Hostup AB
5.34.176.119,81,SG,Green Floid
13.250.131.37,443,SG,Amazoncom
43.156.116.194,443,SG,Tencent cloud computing
43.156.181.203,443,SG,Tencent cloud computing
45.76.183.217,49292,SG,Vultr
47.74.254.191,8900,SG,Alibaba
51.79.158.58,8443,SG,OVH Hosting
51.79.158.58,2053,SG,OVH Hosting
91.192.81.154,2053,SG,Melbikomas UAB
104.248.145.216,443,SG,Digital Ocean
124.156.202.172,443,SG,Tencent cloud computing
129.150.36.188,53435,SG,Oracle Cloud
129.150.58.86,57621,SG,Oracle Cloud
129.226.150.167,443,SG,Tencent cloud computing
138.2.74.219,28616,SG,Cloudflare Warp
